source,target,value,link,nodes
CV  Chest Pain  Angina , Pleurodynia,3,"{source:""CV Chest Pain Angina"", target:""Pleurodynia"", value: 3}",
CV  Chest Pain  Angina , Sepsis unspecified organism,3,"{source:""CV Chest Pain Angina"", target:""Sepsis unspecified organism"", value: 3}",
CV  Chest Pain  Angina , STEMI involving oth coronary artery of inferior wall,3,"{source:""CV Chest Pain Angina"", target:""STEMI involving oth coronary artery of inferior wall"", value: 3}",
CV  Chest Pain  Presumed Cardiac , Acute and chronic respiratory failure with hypoxia,3,"{source:""CV Chest Pain Presumed Cardiac"", target:""Acute and chronic respiratory failure with hypoxia"", value: 3}",
CV  Chest Pain  Presumed Cardiac , Acute bronchitis unspecified,3,"{source:""CV Chest Pain Presumed Cardiac"", target:""Acute bronchitis unspecified"", value: 3}",
CV  Chest Pain  Presumed Cardiac , Anxiety disorder unspecified,3,"{source:""CV Chest Pain Presumed Cardiac"", target:""Anxiety disorder unspecified"", value: 3}",
CV  Chest Pain  Presumed Cardiac , Athscl heart disease of native cor art w unstable ang pctrs,3,"{source:""CV Chest Pain Presumed Cardiac"", target:""Athscl heart disease of native cor art w unstable ang pctrs"", value: 3}",
CV  Chest Pain  Presumed Cardiac , Generalized anxiety disorder,3,"{source:""CV Chest Pain Presumed Cardiac"", target:""Generalized anxiety disorder"", value: 3}",
CV  Chest Pain  Presumed Cardiac , Hypertensive heart disease with heart failure,3,"{source:""CV Chest Pain Presumed Cardiac"", target:""Hypertensive heart disease with heart failure"", value: 3}",
CV  Chest Pain  Presumed Cardiac , Major depressive disorder single episode unspecified,3,"{source:""CV Chest Pain Presumed Cardiac"", target:""Major depressive disorder single episode unspecified"", value: 3}",
CV  Chest Pain  Presumed Cardiac , Paroxysmal atrial fibrillation,3,"{source:""CV Chest Pain Presumed Cardiac"", target:""Paroxysmal atrial fibrillation"", value: 3}",
CV  Chest Pain  Presumed Cardiac , Sepsis unspecified organism,3,"{source:""CV Chest Pain Presumed Cardiac"", target:""Sepsis unspecified organism"", value: 3}",
CV  Chest Pain  Presumed Cardiac , Stenosis of coronary artery stent initial encounter,3,"{source:""CV Chest Pain Presumed Cardiac"", target:""Stenosis of coronary artery stent initial encounter"", value: 3}",
CV  Chest Pain  Presumed Cardiac , Unspecified asthma with acute exacerbation,3,"{source:""CV Chest Pain Presumed Cardiac"", target:""Unspecified asthma with acute exacerbation"", value: 3}",
CV  Chest Pain  Presumed Cardiac , Unspecified atrial flutter,3,"{source:""CV Chest Pain Presumed Cardiac"", target:""Unspecified atrial flutter"", value: 3}",
CV  Chest Pain  STEMI of other sites , STEMI involving oth coronary artery of anterior wall,3,"{source:""CV Chest Pain STEMI of other sites"", target:""STEMI involving oth coronary artery of anterior wall"", value: 3}",
CV  Chest Pain  STEMI of other sites , STEMI involving oth coronary artery of inferior wall,3,"{source:""CV Chest Pain STEMI of other sites"", target:""STEMI involving oth coronary artery of inferior wall"", value: 3}",
CV  Congestive Heart Failure CHF , Hypertensive heart disease with heart failure,3,"{source:""CV Congestive Heart Failure CHF"", target:""Hypertensive heart disease with heart failure"", value: 3}",
CV  Congestive Heart Failure CHF , Sepsis unspecified organism,3,"{source:""CV Congestive Heart Failure CHF"", target:""Sepsis unspecified organism"", value: 3}",
CV  Hypertension , Weakness,3,"{source:""CV Hypertension"", target:""Weakness"", value: 3}",
CV  Hypotension , Hypotension unspecified,3,"{source:""CV Hypotension"", target:""Hypotension unspecified"", value: 3}",
CV  Pulmonary Embolism , Other pulmonary embolism without acute cor pulmonale,3,"{source:""CV Pulmonary Embolism"", target:""Other pulmonary embolism without acute cor pulmonale"", value: 3}",
Dehydration , Dizziness and giddiness,3,"{source:""Dehydration"", target:""Dizziness and giddiness"", value: 3}",
Dehydration , Syncope and collapse,3,"{source:""Dehydration"", target:""Syncope and collapse"", value: 3}",
EENT  Nose Bleed , Epistaxis,3,"{source:""EENT Nose Bleed"", target:""Epistaxis"", value: 3}",
Falls , Behavioral  Suicidal Homicidal Ideation,3,"{source:""Falls"", target:""Behavioral Suicidal Homicidal Ideation"", value: 3}",
Falls , CV  Cardiac Arrhythmia Dysrhythmia,3,"{source:""Falls"", target:""CV Cardiac Arrhythmia Dysrhythmia"", value: 3}",
Falls , Sepsis  Other,3,"{source:""Falls"", target:""Sepsis Other"", value: 3}",
Fever , Acute upper respiratory infection unspecified,3,"{source:""Fever"", target:""Acute upper respiratory infection unspecified"", value: 3}",
General Malaise , Gastrointestinal hemorrhage unspecified,3,"{source:""General Malaise"", target:""Gastrointestinal hemorrhage unspecified"", value: 3}",
GI Bleed  Hematemesis vomiting blood blood in vomit , Gastrointestinal hemorrhage unspecified,3,"{source:""GI Bleed Hematemesis vomiting blood blood in vomit"", target:""Gastrointestinal hemorrhage unspecified"", value: 3}",
GI GU  Abdominal Pain Acute Onset , Calculus of ureter,3,"{source:""GI GU Abdominal Pain Acute Onset"", target:""Calculus of ureter"", value: 3}",
GI GU  Abdominal Pain Acute Onset , Nausea with vomiting unspecified,3,"{source:""GI GU Abdominal Pain Acute Onset"", target:""Nausea with vomiting unspecified"", value: 3}",
GI GU  Diarrhea , Nausea with vomiting unspecified,3,"{source:""GI GU Diarrhea"", target:""Nausea with vomiting unspecified"", value: 3}",
GI GU  Generalized Abdominal Pain , Chest pain unspecified,3,"{source:""GI GU Generalized Abdominal Pain"", target:""Chest pain unspecified"", value: 3}",
GI GU  Generalized Abdominal Pain , Hydronephrosis with renal and ureteral calculous obstruction,3,"{source:""GI GU Generalized Abdominal Pain"", target:""Hydronephrosis with renal and ureteral calculous obstruction"", value: 3}",
GI GU  Generalized Abdominal Pain , Other chest pain,3,"{source:""GI GU Generalized Abdominal Pain"", target:""Other chest pain"", value: 3}",
GI GU  Generalized Abdominal Pain , Sepsis due to Escherichia coli [E. coli],3,"{source:""GI GU Generalized Abdominal Pain"", target:""Sepsis due to Escherichia coli [E. coli]"", value: 3}",
GI GU  Nausea , Headache,3,"{source:""GI GU Nausea"", target:""Headache"", value: 3}",
GI GU  Nausea , I I react d t indwelling urethral catheter init,3,"{source:""GI GU Nausea"", target:""I I react d t indwelling urethral catheter init"", value: 3}",
GI GU  Nausea , Ileus unspecified,3,"{source:""GI GU Nausea"", target:""Ileus unspecified"", value: 3}",
GI GU  Nausea With Vomiting , Sepsis unspecified organism,3,"{source:""GI GU Nausea With Vomiting"", target:""Sepsis unspecified organism"", value: 3}",
GI GU  Pelvic or Perineal Pain , Retention of urine unspecified,3,"{source:""GI GU Pelvic or Perineal Pain"", target:""Retention of urine unspecified"", value: 3}",
Infectious  Common Cold , Acute upper respiratory infection unspecified,3,"{source:""Infectious Common Cold"", target:""Acute upper respiratory infection unspecified"", value: 3}",
Infectious  Influenza Flu Like Symptoms , Noninfective gastroenteritis and colitis unspecified,3,"{source:""Infectious Influenza Flu Like Symptoms"", target:""Noninfective gastroenteritis and colitis unspecified"", value: 3}",
Infectious  Influenza Flu Like Symptoms , Sepsis unspecified organism,3,"{source:""Infectious Influenza Flu Like Symptoms"", target:""Sepsis unspecified organism"", value: 3}",
Infectious  Influenza Flu Like Symptoms , Vomiting unspecified,3,"{source:""Infectious Influenza Flu Like Symptoms"", target:""Vomiting unspecified"", value: 3}",
Infectious  Pneumonia , Acute and chronic respiratory failure with hypoxia,3,"{source:""Infectious Pneumonia"", target:""Acute and chronic respiratory failure with hypoxia"", value: 3}",
Infectious  Pneumonia , Acute respiratory failure with hypoxia,3,"{source:""Infectious Pneumonia"", target:""Acute respiratory failure with hypoxia"", value: 3}",
Infectious  Pneumonia , Bronchitis not specified as acute or chronic,3,"{source:""Infectious Pneumonia"", target:""Bronchitis not specified as acute or chronic"", value: 3}",
Infectious  Pneumonia , Non ST elevation NSTEMI myocardial infarction,3,"{source:""Infectious Pneumonia"", target:""Non ST elevation NSTEMI myocardial infarction"", value: 3}",
Infectious  Sepsis , Sepsis due to Methicillin susceptible Staphylococcus aureus,3,"{source:""Infectious Sepsis"", target:""Sepsis due to Methicillin susceptible Staphylococcus aureus"", value: 3}",
Injury  Ankle , Displaced bimalleolar fracture of left lower leg init,3,"{source:""Injury Ankle"", target:""Displaced bimalleolar fracture of left lower leg init"", value: 3}",
Injury  Eye and or Orbit , Fracture of orbital floor right side init,3,"{source:""Injury Eye and or Orbit"", target:""Fracture of orbital floor right side init"", value: 3}",
Injury  Face , Laceration w o foreign body of oth part of head init encntr,3,"{source:""Injury Face"", target:""Laceration w o foreign body of oth part of head init encntr"", value: 3}",
Injury  Face , Laceration without foreign body of nose initial encounter,3,"{source:""Injury Face"", target:""Laceration without foreign body of nose initial encounter"", value: 3}",
Injury  Forearm , Laceration without foreign body of left forearm init encntr,3,"{source:""Injury Forearm"", target:""Laceration without foreign body of left forearm init encntr"", value: 3}",
Injury  Head , Abrasion of other part of head initial encounter,3,"{source:""Injury Head"", target:""Abrasion of other part of head initial encounter"", value: 3}",
Injury  Head , Concussion w loss of consciousness of unsp duration init,3,"{source:""Injury Head"", target:""Concussion w loss of consciousness of unsp duration init"", value: 3}",
Injury  Head , Contusion of unspecified part of head initial encounter,3,"{source:""Injury Head"", target:""Contusion of unspecified part of head initial encounter"", value: 3}",
Injury  Head , Traum subdr hem w LOC of 30 minutes or less init,3,"{source:""Injury Head"", target:""Traum subdr hem w LOC of 30 minutes or less init"", value: 3}",
Injury  Head , Traum subdr hem w LOC of unsp duration init,3,"{source:""Injury Head"", target:""Traum subdr hem w LOC of unsp duration init"", value: 3}",
Injury  Head , Traum subrac hem w o loss of consciousness init,3,"{source:""Injury Head"", target:""Traum subrac hem w o loss of consciousness init"", value: 3}",
Injury  Head without L.O.C. , Contusion of other part of head initial encounter,3,"{source:""Injury Head without L.O.C."", target:""Contusion of other part of head initial encounter"", value: 3}",
Injury  Head without L.O.C. , Laceration w o foreign body of oth part of head init encntr,3,"{source:""Injury Head without L.O.C."", target:""Laceration w o foreign body of oth part of head init encntr"", value: 3}",
Injury  Hip , Contusion of right hip initial encounter,3,"{source:""Injury Hip"", target:""Contusion of right hip initial encounter"", value: 3}",
Injury  Hip , Displaced midcervical fracture of left femur init,3,"{source:""Injury Hip"", target:""Displaced midcervical fracture of left femur init"", value: 3}",
Injury  Hip , Displaced midcervical fracture of right femur init,3,"{source:""Injury Hip"", target:""Displaced midcervical fracture of right femur init"", value: 3}",
Injury  Hip , Oth fracture of head and neck of left femur init,3,"{source:""Injury Hip"", target:""Oth fracture of head and neck of left femur init"", value: 3}",
Injury  Hip , Unspecified injury of head initial encounter,3,"{source:""Injury Hip"", target:""Unspecified injury of head initial encounter"", value: 3}",
Injury  Lower Back , Contusion of unspecified back wall of thorax init encntr,3,"{source:""Injury Lower Back"", target:""Contusion of unspecified back wall of thorax init encntr"", value: 3}",
Injury  Lower Back , Unsp fracture of second lumbar vertebra init for clos fx,3,"{source:""Injury Lower Back"", target:""Unsp fracture of second lumbar vertebra init for clos fx"", value: 3}",
Injury  Lower Back , Unsp fracture of T11 T12 vertebra init for clos fx,3,"{source:""Injury Lower Back"", target:""Unsp fracture of T11 T12 vertebra init for clos fx"", value: 3}",
Injury  Lower leg , Displaced bicondylar fracture of left tibia init,3,"{source:""Injury Lower leg"", target:""Displaced bicondylar fracture of left tibia init"", value: 3}",
Injury  Lower leg , Unsp fracture of lower end of right femur init for clos fx,3,"{source:""Injury Lower leg"", target:""Unsp fracture of lower end of right femur init for clos fx"", value: 3}",
Injury  Lower leg , Unsp intracapsular fracture of left femur init for clos fx,3,"{source:""Injury Lower leg"", target:""Unsp intracapsular fracture of left femur init for clos fx"", value: 3}",
Injury  Neck , Strain of muscle fascia and tendon at neck level init,3,"{source:""Injury Neck"", target:""Strain of muscle fascia and tendon at neck level init"", value: 3}",
Injury  Neck , Unspecified injury of head initial encounter,3,"{source:""Injury Neck"", target:""Unspecified injury of head initial encounter"", value: 3}",
Injury  Not Otherwise Listed , Alcohol abuse with intoxication unspecified,3,"{source:""Injury Not Otherwise Listed"", target:""Alcohol abuse with intoxication unspecified"", value: 3}",
Injury  Not Otherwise Listed , Concussion w LOC of 30 minutes or less init,3,"{source:""Injury Not Otherwise Listed"", target:""Concussion w LOC of 30 minutes or less init"", value: 3}",
Injury  Not Otherwise Listed , Concussion w loss of consciousness of unsp duration init,3,"{source:""Injury Not Otherwise Listed"", target:""Concussion w loss of consciousness of unsp duration init"", value: 3}",
Injury  Not Otherwise Listed , Concussion without loss of consciousness initial encounter,3,"{source:""Injury Not Otherwise Listed"", target:""Concussion without loss of consciousness initial encounter"", value: 3}",
Injury  Not Otherwise Listed , Contusion of right knee initial encounter,3,"{source:""Injury Not Otherwise Listed"", target:""Contusion of right knee initial encounter"", value: 3}",
Injury  Not Otherwise Listed , Disp fx of greater tuberosity of right humerus init,3,"{source:""Injury Not Otherwise Listed"", target:""Disp fx of greater tuberosity of right humerus init"", value: 3}",
Injury  Not Otherwise Listed , Displaced bicondylar fracture of right tibia init,3,"{source:""Injury Not Otherwise Listed"", target:""Displaced bicondylar fracture of right tibia init"", value: 3}",
Injury  Not Otherwise Listed , Displaced spiral fx shaft of humerus left arm init,3,"{source:""Injury Not Otherwise Listed"", target:""Displaced spiral fx shaft of humerus left arm init"", value: 3}",
Injury  Not Otherwise Listed , Displaced transverse fracture of left patella init,3,"{source:""Injury Not Otherwise Listed"", target:""Displaced transverse fracture of left patella init"", value: 3}",
Injury  Not Otherwise Listed , Laceration w o foreign body of right forearm init encntr,3,"{source:""Injury Not Otherwise Listed"", target:""Laceration w o foreign body of right forearm init encntr"", value: 3}",
Injury  Not Otherwise Listed , Laceration without foreign body right knee init encntr,3,"{source:""Injury Not Otherwise Listed"", target:""Laceration without foreign body right knee init encntr"", value: 3}",
Injury  Not Otherwise Listed , Oth disp fx of upper end of right humerus init for clos fx,3,"{source:""Injury Not Otherwise Listed"", target:""Oth disp fx of upper end of right humerus init for clos fx"", value: 3}",
Injury  Not Otherwise Listed , Oth fracture of left lower leg init for clos fx,3,"{source:""Injury Not Otherwise Listed"", target:""Oth fracture of left lower leg init for clos fx"", value: 3}",
Injury  Not Otherwise Listed , Pain in right hip,3,"{source:""Injury Not Otherwise Listed"", target:""Pain in right hip"", value: 3}",
Injury  Not Otherwise Listed , Periprosth fracture around internal prosth l knee jt init,3,"{source:""Injury Not Otherwise Listed"", target:""Periprosth fracture around internal prosth l knee jt init"", value: 3}",
Injury  Not Otherwise Listed , Periprosth fracture around internal prosth r knee jt init,3,"{source:""Injury Not Otherwise Listed"", target:""Periprosth fracture around internal prosth r knee jt init"", value: 3}",
Injury  Not Otherwise Listed , Rhabdomyolysis,3,"{source:""Injury Not Otherwise Listed"", target:""Rhabdomyolysis"", value: 3}",
Injury  Not Otherwise Listed , Sprain of unspecified site of right knee initial encounter,3,"{source:""Injury Not Otherwise Listed"", target:""Sprain of unspecified site of right knee initial encounter"", value: 3}",
Injury  Not Otherwise Listed , Stable burst fracture of third lumbar vertebra init,3,"{source:""Injury Not Otherwise Listed"", target:""Stable burst fracture of third lumbar vertebra init"", value: 3}",
Injury  Not Otherwise Listed , Traum subdr hem w LOC of 30 minutes or less init,3,"{source:""Injury Not Otherwise Listed"", target:""Traum subdr hem w LOC of 30 minutes or less init"", value: 3}",
Injury  Not Otherwise Listed , Traumatic ischemia of muscle initial encounter,3,"{source:""Injury Not Otherwise Listed"", target:""Traumatic ischemia of muscle initial encounter"", value: 3}",
Injury  Not Otherwise Listed , Unsp disp fx of surgical neck of right humerus init,3,"{source:""Injury Not Otherwise Listed"", target:""Unsp disp fx of surgical neck of right humerus init"", value: 3}",
Injury  Not Otherwise Listed , Unsp fracture of shaft of humerus right arm init,3,"{source:""Injury Not Otherwise Listed"", target:""Unsp fracture of shaft of humerus right arm init"", value: 3}",
Injury  Not Otherwise Listed , Unsp fracture of the lower end of left radius init,3,"{source:""Injury Not Otherwise Listed"", target:""Unsp fracture of the lower end of left radius init"", value: 3}",
Injury  Not Otherwise Listed , Unspecified dementia without behavioral disturbance,3,"{source:""Injury Not Otherwise Listed"", target:""Unspecified dementia without behavioral disturbance"", value: 3}",
Injury  Not Otherwise Listed , Unspecified dislocation of left hip initial encounter,3,"{source:""Injury Not Otherwise Listed"", target:""Unspecified dislocation of left hip initial encounter"", value: 3}",
Injury  Not Otherwise Listed , Unspecified injury of thorax initial encounter,3,"{source:""Injury Not Otherwise Listed"", target:""Unspecified injury of thorax initial encounter"", value: 3}",
Injury  Pelvis , Contusion of right hip initial encounter,3,"{source:""Injury Pelvis"", target:""Contusion of right hip initial encounter"", value: 3}",
Injury  Shoulder or Upper Arm , Laceration w o fb of right eyelid and periocular area init,3,"{source:""Injury Shoulder or Upper Arm"", target:""Laceration w o fb of right eyelid and periocular area init"", value: 3}",
Injury  Shoulder or Upper Arm , Strain of muscle fascia and tendon at neck level init,3,"{source:""Injury Shoulder or Upper Arm"", target:""Strain of muscle fascia and tendon at neck level init"", value: 3}",
Injury  Shoulder or Upper Arm , Traum subdr hem w LOC of unsp duration init,3,"{source:""Injury Shoulder or Upper Arm"", target:""Traum subdr hem w LOC of unsp duration init"", value: 3}",
Injury  Shoulder or Upper Arm , Unsp focal TBI w o loss of consciousness init,3,"{source:""Injury Shoulder or Upper Arm"", target:""Unsp focal TBI w o loss of consciousness init"", value: 3}",
Injury  Thigh upper leg , Age rel osteopor w current path fracture left femur init,3,"{source:""Injury Thigh upper leg"", target:""Age rel osteopor w current path fracture left femur init"", value: 3}",
Injury  Thigh upper leg , Displaced intertrochanteric fracture of right femur init,3,"{source:""Injury Thigh upper leg"", target:""Displaced intertrochanteric fracture of right femur init"", value: 3}",
Injury  Thigh upper leg , Unsp intracapsular fracture of left femur init for clos fx,3,"{source:""Injury Thigh upper leg"", target:""Unsp intracapsular fracture of left femur init for clos fx"", value: 3}",
Injury  Wrist Hand or Fingers , Unsp fracture of the lower end of left radius init,3,"{source:""Injury Wrist Hand or Fingers"", target:""Unsp fracture of the lower end of left radius init"", value: 3}",
Injury of unspecified cranial nerve initial encounter , Laceration w o foreign body of oth part of head init encntr,3,"{source:""Injury of unspecified cranial nerve initial encounter"", target:""Laceration w o foreign body of oth part of head init encntr"", value: 3}",
Neuro  Altered Mental Status altered LOC decreased LOC , Adverse effect of unsp drug meds biol subst init,3,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""Adverse effect of unsp drug meds biol subst init"", value: 3}",
Neuro  Altered Mental Status altered LOC decreased LOC , Cerebral infarction unspecified,3,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""Cerebral infarction unspecified"", value: 3}",
Neuro  Altered Mental Status altered LOC decreased LOC , Chronic obstructive pulmonary disease w acute exacerbation,3,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""Chronic obstructive pulmonary disease w acute exacerbation"", value: 3}",
Neuro  Altered Mental Status altered LOC decreased LOC , Contusion of scalp initial encounter,3,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""Contusion of scalp initial encounter"", value: 3}",
Neuro  Altered Mental Status altered LOC decreased LOC , I I react d t indwelling urethral catheter init,3,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""I I react d t indwelling urethral catheter init"", value: 3}",
Neuro  Altered Mental Status altered LOC decreased LOC , Laceration w o foreign body of oth part of head init encntr,3,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""Laceration w o foreign body of oth part of head init encntr"", value: 3}",
Neuro  Altered Mental Status altered LOC decreased LOC , Laceration without foreign body of scalp initial encounter,3,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""Laceration without foreign body of scalp initial encounter"", value: 3}",
Neuro  Altered Mental Status altered LOC decreased LOC , Major depressv disorder recurrent severe w o psych features,3,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""Major depressv disorder recurrent severe w o psych features"", value: 3}",
Neuro  Altered Mental Status altered LOC decreased LOC , Non ST elevation NSTEMI myocardial infarction,3,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""Non ST elevation NSTEMI myocardial infarction"", value: 3}",
Neuro  Altered Mental Status altered LOC decreased LOC , Poisn by antiparkns drug centr musc tone depr acc init,3,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""Poisn by antiparkns drug centr musc tone depr acc init"", value: 3}",
Neuro  Altered Mental Status altered LOC decreased LOC , Poisoning by heroin accidental unintentional init encntr,3,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""Poisoning by heroin accidental unintentional init encntr"", value: 3}",
Neuro  Altered Mental Status altered LOC decreased LOC , Traum subdr hem w LOC of unsp duration init,3,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""Traum subdr hem w LOC of unsp duration init"", value: 3}",
Neuro  Altered Mental Status altered LOC decreased LOC , Traum subrac hem w LOC of 30 minutes or less init,3,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""Traum subrac hem w LOC of 30 minutes or less init"", value: 3}",
Neuro  Altered Mental Status altered LOC decreased LOC , Traum subrac hem w LOC of unsp duration init,3,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""Traum subrac hem w LOC of unsp duration init"", value: 3}",
Neuro  Stroke CVA , Cereb infrc due to embolism of left middle cerebral artery,3,"{source:""Neuro Stroke CVA"", target:""Cereb infrc due to embolism of left middle cerebral artery"", value: 3}",
Neuro  Stroke CVA , Other cerebral infarction,3,"{source:""Neuro Stroke CVA"", target:""Other cerebral infarction"", value: 3}",
Neuro  Stroke CVA , Other nontraumatic intracerebral hemorrhage,3,"{source:""Neuro Stroke CVA"", target:""Other nontraumatic intracerebral hemorrhage"", value: 3}",
Other chest pain , Chest pain unspecified,3,"{source:""Other chest pain"", target:""Chest pain unspecified"", value: 3}",
Other shoulder lesions unspecified shoulder , Chronic obstructive pulmonary disease w acute exacerbation,3,"{source:""Other shoulder lesions unspecified shoulder"", target:""Chronic obstructive pulmonary disease w acute exacerbation"", value: 3}",
Other specified injuries of lower back initial encounter , Unspecified sprain of left foot initial encounter,3,"{source:""Other specified injuries of lower back initial encounter"", target:""Unspecified sprain of left foot initial encounter"", value: 3}",
Other symptoms and signs involving emotional state , Laceration without foreign body of left forearm init encntr,3,"{source:""Other symptoms and signs involving emotional state"", target:""Laceration without foreign body of left forearm init encntr"", value: 3}",
Pain  Back Non traumatic , Acute kidney failure unspecified,3,"{source:""Pain Back Non traumatic"", target:""Acute kidney failure unspecified"", value: 3}",
Pain  Back Non traumatic , Essential primary hypertension,3,"{source:""Pain Back Non traumatic"", target:""Essential primary hypertension"", value: 3}",
Pain  Back Non traumatic , Hydronephrosis with renal and ureteral calculous obstruction,3,"{source:""Pain Back Non traumatic"", target:""Hydronephrosis with renal and ureteral calculous obstruction"", value: 3}",
Pain  Back Non traumatic , Lumbago with sciatica right side,3,"{source:""Pain Back Non traumatic"", target:""Lumbago with sciatica right side"", value: 3}",
Pain  Back Non traumatic , Multiple fractures of ribs left side init for clos fx,3,"{source:""Pain Back Non traumatic"", target:""Multiple fractures of ribs left side init for clos fx"", value: 3}",
Pain  Back Non traumatic , Rhabdomyolysis,3,"{source:""Pain Back Non traumatic"", target:""Rhabdomyolysis"", value: 3}",
Pain  Back Non traumatic , Unsp fracture of first lumbar vertebra init for clos fx,3,"{source:""Pain Back Non traumatic"", target:""Unsp fracture of first lumbar vertebra init for clos fx"", value: 3}",
Pain  Chest presumed non cardiac , Acute bronchitis unspecified,3,"{source:""Pain Chest presumed non cardiac"", target:""Acute bronchitis unspecified"", value: 3}",
Pain  Chest presumed non cardiac , Contusion of unspecified front wall of thorax init encntr,3,"{source:""Pain Chest presumed non cardiac"", target:""Contusion of unspecified front wall of thorax init encntr"", value: 3}",
Pain  Chest presumed non cardiac , Dizziness and giddiness,3,"{source:""Pain Chest presumed non cardiac"", target:""Dizziness and giddiness"", value: 3}",
Pain  Chest presumed non cardiac , Dyspnea unspecified,3,"{source:""Pain Chest presumed non cardiac"", target:""Dyspnea unspecified"", value: 3}",
Pain  Chest presumed non cardiac , Multiple fractures of ribs left side init for clos fx,3,"{source:""Pain Chest presumed non cardiac"", target:""Multiple fractures of ribs left side init for clos fx"", value: 3}",
Pain  Chest presumed non cardiac , Other specified sepsis,3,"{source:""Pain Chest presumed non cardiac"", target:""Other specified sepsis"", value: 3}",
Pain  Chest presumed non cardiac , Pleurisy,3,"{source:""Pain Chest presumed non cardiac"", target:""Pleurisy"", value: 3}",
Pain  Chest presumed non cardiac , Pleurodynia,3,"{source:""Pain Chest presumed non cardiac"", target:""Pleurodynia"", value: 3}",
Pain  Extremety Non traumatic , Pain in right hip,3,"{source:""Pain Extremety Non traumatic"", target:""Pain in right hip"", value: 3}",
Pain  Not Elsewhere Mentioned Sudden Onset , Concussion without loss of consciousness initial encounter,3,"{source:""Pain Not Elsewhere Mentioned Sudden Onset"", target:""Concussion without loss of consciousness initial encounter"", value: 3}",
Pain  Not Elsewhere Mentioned Sudden Onset , Contusion of left knee initial encounter,3,"{source:""Pain Not Elsewhere Mentioned Sudden Onset"", target:""Contusion of left knee initial encounter"", value: 3}",
Pain  Not Elsewhere Mentioned Sudden Onset , Displaced intertrochanteric fracture of right femur init,3,"{source:""Pain Not Elsewhere Mentioned Sudden Onset"", target:""Displaced intertrochanteric fracture of right femur init"", value: 3}",
Pain  Not Elsewhere Mentioned Sudden Onset , Oth fracture of left pubis init encntr for closed fracture,3,"{source:""Pain Not Elsewhere Mentioned Sudden Onset"", target:""Oth fracture of left pubis init encntr for closed fracture"", value: 3}",
Pain  Not Elsewhere Mentioned Sudden Onset , Other chest pain,3,"{source:""Pain Not Elsewhere Mentioned Sudden Onset"", target:""Other chest pain"", value: 3}",
Pain  Not Elsewhere Mentioned Sudden Onset , Strain of muscle fascia and tendon of lower back init,3,"{source:""Pain Not Elsewhere Mentioned Sudden Onset"", target:""Strain of muscle fascia and tendon of lower back init"", value: 3}",
Pain unspecified , Acute kidney failure unspecified,3,"{source:""Pain unspecified"", target:""Acute kidney failure unspecified"", value: 3}",
Pain unspecified , Contusion of right knee initial encounter,3,"{source:""Pain unspecified"", target:""Contusion of right knee initial encounter"", value: 3}",
Pain unspecified , Cutaneous abscess of right lower limb,3,"{source:""Pain unspecified"", target:""Cutaneous abscess of right lower limb"", value: 3}",
Pain unspecified , Disp fx of greater trochanter of left femur init,3,"{source:""Pain unspecified"", target:""Disp fx of greater trochanter of left femur init"", value: 3}",
Pain unspecified , Displaced intertrochanteric fracture of left femur init,3,"{source:""Pain unspecified"", target:""Displaced intertrochanteric fracture of left femur init"", value: 3}",
Pain unspecified , Fracture of unsp part of neck of right femur init,3,"{source:""Pain unspecified"", target:""Fracture of unsp part of neck of right femur init"", value: 3}",
Pain unspecified , Gout unspecified,3,"{source:""Pain unspecified"", target:""Gout unspecified"", value: 3}",
Pain unspecified , Intervertebral disc disorders w radiculopathy lumbar region,3,"{source:""Pain unspecified"", target:""Intervertebral disc disorders w radiculopathy lumbar region"", value: 3}",
Pain unspecified , Non ST elevation NSTEMI myocardial infarction,3,"{source:""Pain unspecified"", target:""Non ST elevation NSTEMI myocardial infarction"", value: 3}",
Pain unspecified , Other stimulant abuse uncomplicated,3,"{source:""Pain unspecified"", target:""Other stimulant abuse uncomplicated"", value: 3}",
Pain unspecified , Pain in left knee,3,"{source:""Pain unspecified"", target:""Pain in left knee"", value: 3}",
Pain unspecified , Pain in left leg,3,"{source:""Pain unspecified"", target:""Pain in left leg"", value: 3}",
Pain unspecified , Pain in left shoulder,3,"{source:""Pain unspecified"", target:""Pain in left shoulder"", value: 3}",
Pain unspecified , Pain unspecified,3,"{source:""Pain unspecified"", target:""Pain unspecified"", value: 3}",
