,complaint,impression,diagnosis,count
10950,Psychiatric Problem Abnormal Behavior Suicide Attempt,Abuse Of Alcohol Intoxication,Alcohol Dependence,3
10955,Psychiatric Problem Abnormal Behavior Suicide Attempt,Abuse Of Alcohol Intoxication,Major Depressive Disorder,4
10956,Psychiatric Problem Abnormal Behavior Suicide Attempt,Abuse Of Alcohol Intoxication,Suicidal Ideations,4
10965,Psychiatric Problem Abnormal Behavior Suicide Attempt,Abuse Of Hallucinogen,Major Depressive Disorder,3
10966,Psychiatric Problem Abnormal Behavior Suicide Attempt,Abuse Of Hallucinogen,Psychoactive Substance Abuse,3
10970,Psychiatric Problem Abnormal Behavior Suicide Attempt,Abuse Of Hallucinogen,Stimulant Abuse,8
10978,Psychiatric Problem Abnormal Behavior Suicide Attempt,Abuse Of Narcotic Ie Heroin,Stimulant Abuse,3
10995,Psychiatric Problem Abnormal Behavior Suicide Attempt,Abuse Of Psychoactive Substance,Poisoning By Antiallerg Antiemetic,3
10998,Psychiatric Problem Abnormal Behavior Suicide Attempt,Abuse Of Psychoactive Substance,Psychoactive Substance Abuse,11
11002,Psychiatric Problem Abnormal Behavior Suicide Attempt,Abuse Of Psychoactive Substance,Stimulant Abuse,7
11014,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Anxiety,Anxiety Disorder,8
11015,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Anxiety,Bipolar Disorder,3
11024,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Anxiety,Encounter For Issue Of Repeat Prescription,3
11026,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Anxiety,Major Depressive Disorder,7
11034,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Anxiety,Stimulant Abuse,3
11036,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Anxiety,Suicidal Ideations,4
11042,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Depression,Anxiety Disorder,9
11051,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Depression,Laceration ,5
11052,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Depression,Major Depressive Disorder,37
11060,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Depression,Schizoaffective Disorder,3
11062,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Depression,Suicidal Ideations,17
11094,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Hostile,Major Depressive Disorder,3
11102,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Abdominal Pain,3
11105,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Abrasion Of Wrist,4
11112,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Adjustment Disorder,12
11115,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Adult Sexual Abuse,3
11116,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Alcohol Abuse,23
11117,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Alcohol Dependence,11
11119,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Altered Mental Status,4
11120,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,AlzheimerS Disease,3
11122,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Antisocial Personality Disorder,3
11123,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Anxiety Disorder,47
11126,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Auditory Hallucinations,5
11127,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Autistic Disorder,5
11128,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Bipolar Disorder,51
11131,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Borderline Personality Disorder,3
11132,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Brief Psychotic Disorder,16
11135,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Cellulitis Of Limb,3
11141,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Conduct Disorder,20
11148,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Delusional Disorder,14
11149,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Dementia,9
11150,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Depressive Episodes,4
11154,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Disruptive Mood Dysregulation Disorder,3
11158,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Encephalopathy,3
11159,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Encounter For Exam And Obs Alleged Adult Rape,3
11174,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Generalized Anxiety Disorder,8
11177,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Headache,3
11180,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Homicidal Ideations,3
11188,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Irritability And Anger,3
11190,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Laceration ,21
11193,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Major Depressive Disorder,204
11196,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Manic Episode,6
11197,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Mental Disorder,4
11204,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Opioid Abuse,3
11205,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Opioid Dependence,3
11206,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Oppositional Defiant Disorder,3
11208,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Panic Disorder [Episodic Paroxysmal Anxiety],10
11209,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Paranoid Schizophrenia,29
11228,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Post Traumatic Stress Disorder,3
11229,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Psychoactive Substance Abuse,18
11231,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Psychosis,37
11233,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Reaction To Severe Stress,3
11235,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Restlessness And Agitation,11
11237,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Schizoaffective Disorder,32
11238,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Schizophrenia,32
11244,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Stimulant Abuse,42
11245,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Stimulant Dependence,8
11246,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Stimulant Use,3
11247,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Suicidal Ideations,107
11248,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Suicide Attempt,5
11250,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Symptoms And Signs Involving Appearance And Behavior,5
11257,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Undifferentiated Schizophrenia,5
11259,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Violent Behavior,4
11260,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Mental Disorder Not Otherwise Listed,Visual Hallucinations,3
11264,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Strange Behavior,Alcohol Abuse,4
11266,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Strange Behavior,Altered Mental Status,4
11267,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Strange Behavior,Anxiety Disorder,3
11269,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Strange Behavior,Bipolar Disorder,7
11270,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Strange Behavior,Brief Psychotic Disorder,3
11272,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Strange Behavior,Delusional Disorder,4
11281,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Strange Behavior,Laceration ,3
11282,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Strange Behavior,Major Depressive Disorder,11
11291,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Strange Behavior,Psychosis,6
11294,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Strange Behavior,Schizoaffective Disorder,3
11295,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Strange Behavior,Schizophrenia,6
11297,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Strange Behavior,Stimulant Abuse,8
11300,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Strange Behavior,Suicidal Ideations,6
11306,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicidal Homicidal Ideation,Alcohol Abuse,5
11307,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicidal Homicidal Ideation,Alcohol Dependence,5
11309,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicidal Homicidal Ideation,Anxiety Disorder,4
11310,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicidal Homicidal Ideation,Bipolar Disorder,4
11314,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicidal Homicidal Ideation,Depressive Episodes,3
11319,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicidal Homicidal Ideation,Laceration ,3
11320,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicidal Homicidal Ideation,Major Depressive Disorder,53
11328,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicidal Homicidal Ideation,Post Traumatic Stress Disorder,3
11330,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicidal Homicidal Ideation,Psychosis,3
11333,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicidal Homicidal Ideation,Schizoaffective Disorder,4
11337,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicidal Homicidal Ideation,Suicidal Ideations,25
11350,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicide Attempt,Alcohol Abuse,9
11351,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicide Attempt,Alcohol Dependence,4
11352,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicide Attempt,Anxiety Disorder,6
11354,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicide Attempt,Asphyxiation,5
11355,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicide Attempt,Bipolar Disorder,17
11370,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicide Attempt,Laceration ,28
11372,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicide Attempt,Major Depressive Disorder,116
11380,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicide Attempt,Poisoning By 4Aminophenol Derivatives,4
11382,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicide Attempt,Poisoning By Antieplptc And SedHypntc Drugs,4
11384,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicide Attempt,Poisoning By Benzodiazepines,6
11396,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicide Attempt,Psychoactive Substance Abuse,3
11397,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicide Attempt,Psychosis,7
11400,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicide Attempt,Schizoaffective Disorder,7
11401,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicide Attempt,Schizophrenia,3
11404,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicide Attempt,Stimulant Abuse,4
11407,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicide Attempt,Suicidal Ideations,48
11408,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicide Attempt,Suicide Attempt,6
11410,Psychiatric Problem Abnormal Behavior Suicide Attempt,Behavioral Suicide Attempt,Toxic Eff Of Carb Monx From Mtr Veh Exhaust,4
11432,Psychiatric Problem Abnormal Behavior Suicide Attempt,Depressive Episodes,Major Depressive Disorder,5
11433,Psychiatric Problem Abnormal Behavior Suicide Attempt,Depressive Episodes,Suicidal Ideations,4
11503,Psychiatric Problem Abnormal Behavior Suicide Attempt,Injury Not Otherwise Listed,Laceration ,3
11504,Psychiatric Problem Abnormal Behavior Suicide Attempt,Injury Not Otherwise Listed,Major Depressive Disorder,3
11511,Psychiatric Problem Abnormal Behavior Suicide Attempt,Injury Wrist Hand Or Fingers,Laceration ,5
11520,Psychiatric Problem Abnormal Behavior Suicide Attempt,Neuro Altered Mental Status Altered Loc Decreased Loc,Acute Kidney Failure,7
11523,Psychiatric Problem Abnormal Behavior Suicide Attempt,Neuro Altered Mental Status Altered Loc Decreased Loc,Alcohol Abuse,6
11525,Psychiatric Problem Abnormal Behavior Suicide Attempt,Neuro Altered Mental Status Altered Loc Decreased Loc,Altered Mental Status,3
11527,Psychiatric Problem Abnormal Behavior Suicide Attempt,Neuro Altered Mental Status Altered Loc Decreased Loc,Anxiety Disorder,3
11529,Psychiatric Problem Abnormal Behavior Suicide Attempt,Neuro Altered Mental Status Altered Loc Decreased Loc,Bipolar Disorder,4
11531,Psychiatric Problem Abnormal Behavior Suicide Attempt,Neuro Altered Mental Status Altered Loc Decreased Loc,Brief Psychotic Disorder,4
11537,Psychiatric Problem Abnormal Behavior Suicide Attempt,Neuro Altered Mental Status Altered Loc Decreased Loc,Delusional Disorder,4
11551,Psychiatric Problem Abnormal Behavior Suicide Attempt,Neuro Altered Mental Status Altered Loc Decreased Loc,Major Depressive Disorder,16
11569,Psychiatric Problem Abnormal Behavior Suicide Attempt,Neuro Altered Mental Status Altered Loc Decreased Loc,Psychoactive Substance Abuse,6
11572,Psychiatric Problem Abnormal Behavior Suicide Attempt,Neuro Altered Mental Status Altered Loc Decreased Loc,Psychosis,12
11576,Psychiatric Problem Abnormal Behavior Suicide Attempt,Neuro Altered Mental Status Altered Loc Decreased Loc,Schizophrenia,5
11577,Psychiatric Problem Abnormal Behavior Suicide Attempt,Neuro Altered Mental Status Altered Loc Decreased Loc,Sepsis,7
11579,Psychiatric Problem Abnormal Behavior Suicide Attempt,Neuro Altered Mental Status Altered Loc Decreased Loc,Stimulant Abuse,13
11582,Psychiatric Problem Abnormal Behavior Suicide Attempt,Neuro Altered Mental Status Altered Loc Decreased Loc,Suicidal Ideations,13
11585,Psychiatric Problem Abnormal Behavior Suicide Attempt,Neuro Altered Mental Status Altered Loc Decreased Loc,Type 2 Diabetes Mellitus,3
11586,Psychiatric Problem Abnormal Behavior Suicide Attempt,Neuro Altered Mental Status Altered Loc Decreased Loc,Undifferentiated Schizophrenia,4
11611,Psychiatric Problem Abnormal Behavior Suicide Attempt,Not Applicable,Major Depressive Disorder,17
11616,Psychiatric Problem Abnormal Behavior Suicide Attempt,Not Applicable,Suicidal Ideations,3
11620,Psychiatric Problem Abnormal Behavior Suicide Attempt,Not Recorded,Alcohol Abuse,6
11622,Psychiatric Problem Abnormal Behavior Suicide Attempt,Not Recorded,Altered Mental Status,3
11623,Psychiatric Problem Abnormal Behavior Suicide Attempt,Not Recorded,Anxiety Disorder,4
11625,Psychiatric Problem Abnormal Behavior Suicide Attempt,Not Recorded,Bipolar Disorder,5
11627,Psychiatric Problem Abnormal Behavior Suicide Attempt,Not Recorded,Brief Psychotic Disorder,4
11630,Psychiatric Problem Abnormal Behavior Suicide Attempt,Not Recorded,Conduct Disorder,3
11638,Psychiatric Problem Abnormal Behavior Suicide Attempt,Not Recorded,Laceration ,7
11639,Psychiatric Problem Abnormal Behavior Suicide Attempt,Not Recorded,Major Depressive Disorder,17
11646,Psychiatric Problem Abnormal Behavior Suicide Attempt,Not Recorded,Poisoning By Benzodiazepines,3
11656,Psychiatric Problem Abnormal Behavior Suicide Attempt,Not Recorded,Psychosis,3
11658,Psychiatric Problem Abnormal Behavior Suicide Attempt,Not Recorded,Schizoaffective Disorder,4
11659,Psychiatric Problem Abnormal Behavior Suicide Attempt,Not Recorded,Schizophrenia,4
11661,Psychiatric Problem Abnormal Behavior Suicide Attempt,Not Recorded,Stimulant Abuse,5
11662,Psychiatric Problem Abnormal Behavior Suicide Attempt,Not Recorded,Suicidal Ideations,6
11703,Psychiatric Problem Abnormal Behavior Suicide Attempt,Poisoning By Drugs Medicaments And Biological Substances Undetermined,Psychoactive Substance Abuse,3
11734,Psychiatric Problem Abnormal Behavior Suicide Attempt,State Of Emotional Shock And Stress,Suicidal Ideations,3
11738,Psychiatric Problem Abnormal Behavior Suicide Attempt,Suicidal Ideations,Major Depressive Disorder,10
11743,Psychiatric Problem Abnormal Behavior Suicide Attempt,Symptoms And Signs Involving Emotional State,Alcohol Abuse,3
11745,Psychiatric Problem Abnormal Behavior Suicide Attempt,Symptoms And Signs Involving Emotional State,Anxiety Disorder,4
11754,Psychiatric Problem Abnormal Behavior Suicide Attempt,Symptoms And Signs Involving Emotional State,Laceration ,3
11755,Psychiatric Problem Abnormal Behavior Suicide Attempt,Symptoms And Signs Involving Emotional State,Major Depressive Disorder,22
11764,Psychiatric Problem Abnormal Behavior Suicide Attempt,Symptoms And Signs Involving Emotional State,Suicidal Ideations,13
11777,Psychiatric Problem Abnormal Behavior Suicide Attempt,Weakness,Major Depressive Disorder,3
11784,Sick Person,Abdominal Pain,Abdominal Pain,32
11789,Sick Person,Abdominal Pain,Acute Cystitis,3
11807,Sick Person,Abdominal Pain,Calculus Of Kidney,5
11815,Sick Person,Abdominal Pain,Chronic Pain,4
11816,Sick Person,Abdominal Pain,Chronic Pancreatitis,3
11819,Sick Person,Abdominal Pain,Constipation,9
11829,Sick Person,Abdominal Pain,Diarrhea,4
11839,Sick Person,Abdominal Pain,Epigastric Pain,12
11846,Sick Person,Abdominal Pain,Gastritis,5
11848,Sick Person,Abdominal Pain,Generalized Abdominal Pain,12
11855,Sick Person,Abdominal Pain,Hydronephrosis,3
11861,Sick Person,Abdominal Pain,Ileus,3
11866,Sick Person,Abdominal Pain,Intestinal Obstruction,3
11867,Sick Person,Abdominal Pain,Intestnl Obst,4
11869,Sick Person,Abdominal Pain,Left Lower Quadrant Pain,4
11873,Sick Person,Abdominal Pain,Nausea,8
11875,Sick Person,Abdominal Pain,Noninfective Gastroenteritis And Colitis,12
11891,Sick Person,Abdominal Pain,Retention Of Urine,3
11892,Sick Person,Abdominal Pain,Right Lower Quadrant Pain,5
11898,Sick Person,Abdominal Pain,Sepsis,16
11913,Sick Person,Abdominal Pain,Urinary Tract Infection,8
11916,Sick Person,Abdominal Pain,Viral Intestinal Infection,3
11918,Sick Person,Abdominal Pain,Vomiting,3
11942,Sick Person,Abuse Of Alcohol,Alcohol Abuse,43
11943,Sick Person,Abuse Of Alcohol,Alcohol Dependence,17
11964,Sick Person,Abuse Of Alcohol Intoxication,Alcohol Abuse,9
11965,Sick Person,Abuse Of Alcohol Intoxication,Alcohol Dependence,5
11975,Sick Person,Abuse Of Alcohol Withdrawal,Alcohol Dependence,5
12001,Sick Person,Abuse Of Narcotic Ie Heroin,Opioid Dependence,4
12008,Sick Person,Abuse Of Psychoactive Substance,Alcohol Abuse,4
12023,Sick Person,Abuse Of Psychoactive Substance,Opioid Dependence,3
12027,Sick Person,Abuse Of Psychoactive Substance,Psychoactive Substance Abuse,3
12031,Sick Person,Abuse Of Psychoactive Substance,Sepsis,3
12032,Sick Person,Abuse Of Psychoactive Substance,Stimulant Abuse,4
12037,Sick Person,Abuse Of Sedative Hypnotic Or Anxiolytic,Auditory Hallucinations,3
12041,Sick Person,Abuse Of Sedative Hypnotic Or Anxiolytic,Disorder Of The Skin And Subcutaneous Tissue,3
12049,Sick Person,Abuse Of Sedative Hypnotic Or Anxiolytic,Stimulant Abuse,3
12062,Sick Person,Alcohol Dependence With Intoxication,Alcohol Dependence,4
12067,Sick Person,Allergic Reaction,Allergy,4
12093,Sick Person,Behavioral Anxiety,Alcohol Abuse,4
12097,Sick Person,Behavioral Anxiety,Anxiety Disorder,7
12103,Sick Person,Behavioral Anxiety,Generalized Anxiety Disorder,3
12108,Sick Person,Behavioral Anxiety,Opioid Dependence,4
12114,Sick Person,Behavioral Anxiety,Stimulant Abuse,4
12151,Sick Person,Behavioral Mental Disorder Not Otherwise Listed,Alcohol Dependence,5
12152,Sick Person,Behavioral Mental Disorder Not Otherwise Listed,Altered Mental Status,6
12154,Sick Person,Behavioral Mental Disorder Not Otherwise Listed,Anxiety Disorder,17
12157,Sick Person,Behavioral Mental Disorder Not Otherwise Listed,Bipolar Disorder,4
12162,Sick Person,Behavioral Mental Disorder Not Otherwise Listed,Cellulitis Of Limb,3
12176,Sick Person,Behavioral Mental Disorder Not Otherwise Listed,Epilepsy,4
12182,Sick Person,Behavioral Mental Disorder Not Otherwise Listed,Major Depressive Disorder,15
12188,Sick Person,Behavioral Mental Disorder Not Otherwise Listed,Panic Disorder [Episodic Paroxysmal Anxiety],4
12201,Sick Person,Behavioral Mental Disorder Not Otherwise Listed,Psychoactive Substance Abuse,3
12203,Sick Person,Behavioral Mental Disorder Not Otherwise Listed,Psychosis,5
12206,Sick Person,Behavioral Mental Disorder Not Otherwise Listed,Schizoaffective Disorder,8
12207,Sick Person,Behavioral Mental Disorder Not Otherwise Listed,Schizophrenia,4
12210,Sick Person,Behavioral Mental Disorder Not Otherwise Listed,Stimulant Abuse,6
12213,Sick Person,Behavioral Mental Disorder Not Otherwise Listed,Suicidal Ideations,14
12216,Sick Person,Behavioral Mental Disorder Not Otherwise Listed,Syncope And Collapse,4
12234,Sick Person,Behavioral Strange Behavior,Major Depressive Disorder,3
12239,Sick Person,Behavioral Strange Behavior,Psychosis,4
12250,Sick Person,Behavioral Suicidal Homicidal Ideation,Major Depressive Disorder,3
12257,Sick Person,Behavioral Suicide Attempt,Major Depressive Disorder,7
12264,Sick Person,CV Cardiac Arrest,Cardiac Arrest,4
12271,Sick Person,CV Cardiac Arrhythmia Dysrhythmia,Atrial Fibrillation,4
12286,Sick Person,CV Cardiac Arrhythmia Dysrhythmia,Supraventricular Tachycardia,3
12290,Sick Person,CV Cardiac Arrhythmia Dysrhythmia,Weakness,3
12299,Sick Person,CV Chest Pain Presumed Cardiac,Chest Pain,4
12312,Sick Person,CV Congestive Heart Failure Chf,Hyp Hrt & Chr Kdny Dis,4
12324,Sick Person,CV Hypertension,Dizziness And Giddiness,5
12326,Sick Person,CV Hypertension,Essential Primary Hypertension,12
12343,Sick Person,CV Hypertension,Weakness,3
12346,Sick Person,CV Hypotension,Acute Kidney Failure,10
12357,Sick Person,CV Hypotension,Hypotension,5
12365,Sick Person,CV Hypotension,Sepsis,9
12386,Sick Person,Chest Pain,Chest Pain,6
12397,Sick Person,Chest Pain,NonSt Elevation Nstemi Myocardial Infarction,4
12427,Sick Person,Convulsions,Convulsions,20
12428,Sick Person,Convulsions,Epilepsy,8
12435,Sick Person,Convulsions,Opioid Dependence,4
12440,Sick Person,Convulsions,Syncope And Collapse,3
12446,Sick Person,Dehydration,Acute Kidney Failure,4
12457,Sick Person,Dehydration,Dizziness And Giddiness,3
12471,Sick Person,Dehydration,Sepsis,4
12473,Sick Person,Dehydration,Syncope And Collapse,3
12487,Sick Person,Diarrhea,Diarrhea,4
12496,Sick Person,Diarrhea,Noninfective Gastroenteritis And Colitis,4
12500,Sick Person,Diarrhea,Sepsis,5
12508,Sick Person,Eent Nose Bleed,Epistaxis,3
12534,Sick Person,Endocrine Hyperglycemia Diabetic Diabetes,Sepsis,13
12536,Sick Person,Endocrine Hyperglycemia Diabetic Diabetes,Type 1 Diabetes Mellitus,9
12537,Sick Person,Endocrine Hyperglycemia Diabetic Diabetes,Type 2 Diabetes Mellitus,3
12546,Sick Person,Endocrine Hypoglycemia Diabetic Diabetes,Type 2 Diabetes Mellitus,6
12571,Sick Person,Environment Poisoning Drug Ingestion Overdose,Sepsis,3
12595,Sick Person,Fatigue,Major Depressive Disorder,4
12605,Sick Person,Fatigue,Sepsis,6
12614,Sick Person,Fatigue,Weakness,4
12627,Sick Person,Fever,Acute Respiratory Infection,3
12646,Sick Person,Fever,Fever,11
12647,Sick Person,Fever,Flu,8
12648,Sick Person,Fever,GramNegative Sepsis,4
12652,Sick Person,Fever,I I React D T Urinary Catheter,5
12654,Sick Person,Fever,Infect Inflm Reaction,3
12663,Sick Person,Fever,Pneumonia,4
12664,Sick Person,Fever,Pneumonitis,5
12668,Sick Person,Fever,Sepsis,62
12672,Sick Person,Fever,Urinary Tract Infection,5
12678,Sick Person,GI GU Abdominal Pain Acute Onset,Abdominal Pain,4
12682,Sick Person,GI GU Abdominal Pain Acute Onset,Alcohol Dependence,3
12691,Sick Person,GI GU Abdominal Pain Acute Onset,Epigastric Pain,3
12694,Sick Person,GI GU Abdominal Pain Acute Onset,Generalized Abdominal Pain,4
12710,Sick Person,GI GU Abdominal Pain Acute Onset,Nausea,3
12717,Sick Person,GI GU Abdominal Pain Acute Onset,Sepsis,6
12735,Sick Person,GI GU Constipation,Constipation,5
12737,Sick Person,GI GU Constipation,Fecal Impaction,4
12752,Sick Person,GI GU Diarrhea,Nausea,3
12755,Sick Person,GI GU Diarrhea,Sepsis,7
12765,Sick Person,GI GU Generalized Abdominal Pain,Abdominal Pain,9
12782,Sick Person,GI GU Generalized Abdominal Pain,Constipation,7
12786,Sick Person,GI GU Generalized Abdominal Pain,Cyclical Vomiting,4
12803,Sick Person,GI GU Generalized Abdominal Pain,Generalized Abdominal Pain,6
12806,Sick Person,GI GU Generalized Abdominal Pain,Hydronephrosis,3
12815,Sick Person,GI GU Generalized Abdominal Pain,Nausea,5
